ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000008756,36.64,36.93,40.32,48.95,35.43,49.59,121.04,54.11
ENSMLUG00000001498,7.34,17.7,34.68,8.58,10.68,17.29,5.78,8.44
ENSMLUG00000011015,0,0,0,3.31,0,0,0,0
ENSMLUG00000009915,0,0,4.44,3.06,0,2.61,3.3,2.96
ENSMLUG00000009608,0,13.33,11.04,3.57,0,0,0,0
ENSMLUG00000008935,0,0,8.31,10.18,30.44,28.73,18.9,0
ENSMLUG00000024754,0,6.15,4.23,0,0,0,5.25,9
ENSMLUG00000015996,0,194.69,232.69,0,0,0,0,0
ENSMLUG00000006151,20.72,10.74,6.5,6.98,0,0,0,0
ENSMLUG00000013539,6.56,4.54,11.99,8.52,14.25,20.89,4.69,7.85
ENSMLUG00000016019,0,0,1.15,0,0,0,0,0
ENSMLUG00000017473,0,5.96,3.9,3.05,13.83,12.49,0,0
ENSMLUG00000006040,101.09,52.41,165.84,79.61,134.12,38,51.56,52.44
ENSMLUG00000012026,0,0,0,0,6.1,0,0,0
ENSMLUG00000015727,127.19,101.54,152,135.81,184.99,76.8,112.61,85.36
ENSMLUG00000007269,44.23,29.02,18.28,20.46,34.75,36.86,37.8,38.13
ENSMLUG00000025042,0,10.25,18.56,12.53,13.09,9.89,0,10.43
ENSMLUG00000015378,15.23,0,4.83,4.76,10.1,21.67,17.17,0
ENSMLUG00000003530,261.97,161.13,130.47,109.95,228.88,66.87,81.82,99.76
ENSMLUG00000014757,183.45,81.7,322.28,207.46,184.15,241.87,337.43,326.64
ENSMLUG00000017083,54,13.49,9.03,12.61,46.16,36.31,40.52,36.08
ENSMLUG00000001098,36.25,19.01,7.91,7.39,24.97,31.2,15.7,38.68
ENSMLUG00000015180,34.03,28.99,31.65,38.94,25.48,15.24,40.83,34.88
ENSMLUG00000007550,13.88,31.47,42.07,30.43,44.38,32.17,21.53,25.23
ENSMLUG00000003381,0,0,0,4.68,0,0,0,0
ENSMLUG00000006732,0,0,11.67,8.86,0,0,0,0
ENSMLUG00000009993,35.06,30.58,21.86,15.16,44.74,34.19,18.36,16.16
ENSMLUG00000001060,26.57,26.01,22.45,23.81,31.63,42.38,54.59,32.54
ENSMLUG00000001768,7.9,28.69,24.75,35.46,42.4,60.43,39.22,16.76
ENSMLUG00000012887,0,8.81,17.58,27.65,0,14.57,8.97,0
ENSMLUG00000007850,0,0,0,13.42,0,0,0,0
ENSMLUG00000003038,22.31,21.02,18.25,17.07,30.32,33.68,20.89,18.88
ENSMLUG00000001800,204.85,115.74,136.38,42.73,123.74,85.26,150.04,113.84
